Questions,Answers
Does MedStar Washington Hospital Center or Children's National Medical Center have more beds?,MedStar Washington Hospital Center
"What is the nickname of the island that is 1,415 km further to the east-southeast of Tokyo?",Wake Atoll
What 1996 book was written by the founder of Media Matter for America?,The Seduction of Hillary Rodham
What airport is off National Route A002 and is largest airport in Greater Buenos Aires?,Ministro Pistarini International Airport
Belle Gold is a fictional character portrayed by an actress of what nationality?,Australian
"Who was born first, Mary Collins or Polly Draper?",Mary Collins
What was the birthdate of the actor who starred in the movie Voodoo?,16-Jul-71
Where was the sitcom filmed that Judy Greer played Kitty Sanchez in?,primarily in Culver City and Marina del Rey
What island is located  808 nmi northwest of the capital of Hawaii?,Laysan
What three states junction is near the gap that Peter Hackett traveled along during the Scotish-Irish migration along the Wilderness Road?,"Kentucky, Virginia, and Tennessee"
This Australian racing driver currently drives the No. 22 Holden VF Commodore produced by Holden Commodore which manufactures what other models?,sedan and station wagon
"Staten Island Summer, starred what actress who was a cast member of ""Saturday Night Live""?",Cecily Strong
Tigerair is a budget airline and subsidiary of what Singaporean flag carrier?,Singapore Airlines Limited
Ndlela kaSompisi was a key general to Zulu King Dingane and a king born in what year?,1787
"Here's Little Richard is a debut album containing a song written by Little Richard, Enotris Johnson and who else?","Robert ""Bumps"" Blackwell"
"Which game is a board game, Mensch ärgere dich nicht or Roulette?",Mensch ärgere Dich nicht
The Bee Cliff in northeast Tennessee overlooks a river that is how many miles long?,78.5 mi long
"Which was published earlier, La Belle Assemblée or VIVmag?",La Belle Assemblée
"John Michael Montgomery has had more than 30 singles on the ""Billboard"" country music charts, but what single from his fourth studio album What I Do the Best never reached the top ten on the Hot Country Songs charts?","""Ain't Got Nothin' on Us"""
What competitions does Lai Shiu Wing team compete participate in? ,FIFA World Cup
"In the muti-sport games usually held every four years between nations around the Mediterranean Sea, Fatma Lanouar is best known for winning gold in which event?",1500 metres
Where was the match held where Chicharito scored goals along with Antonio Valencia and Dimitar Berbatov?,Wembley Stadium
In which region is the town in which  Fort Kongenstein is located ?,the Greater Accra Region
What city is the the Iranian Airlines involved in the 1993 Tehran mid-air collision based out of?,"Tehran, Iran"
What award won by only twelve people has a man who Ted Kooshian has performed with won?,EGOT
Oprah Winfrey narrated a documentary about this athlete who rode 400 miles across his country to bring attention to the plight of the disabled in the country?,Emmanuel Ofosu Yeboah
What is the birth year of the rapper who made The Cold Corner 2?,1982
"Who was born first, Vladimir Nabokov or Harper Lee?",Vladimir Vladimirovich Nabokov
"Which is a choreographer, Yuen Woo-ping or Basil Dean?",Yuen Woo-ping
Carl Barks is best known for his comics about the cartoon character created in what year?,1934
What did the UK's first Linux-specific magazine call Qvwm?,an unusually impressive imposter
WonderWorks made an adaptation of what novel created by Frances Hogson Burnett?,A Little Princess
What relationship did Gordon Banks have to the person who killed American recording artist Marvin Gaye?,brother-in-law
"What is the date played of this college football game at Sun Life Stadium in Miami Gardens, Florida, where Clemson defeated the No. 4 Oklahoma Sooners, 37-17?",31-Dec-15
"""The Simpson's"" episode featuring the  ""Itchy & Scratchy & Poochie"" show satirized the world of television production just as the episode featuring the ""Itchy & Scratchy & Marge"" satirized what type of issue?",censorship
What American actress who died in 2011 starred in Fear Stalk?,Sada Thompson
"Gérald Genta, a Swiss jewelllery designer, worked with what luxury Swiss watch manufacturer which was founded by American Watch,aker Florentine Ariosts Jones?",International Watch Co.
Of the two genuses Gaillardia and Browningia which one is a genus of cacti?,Browningia
Rafe Hernandez is a fictional character who played with Chrishell Stause's charachter on Days of our live?,Jordan Ridgeway
Little Brown Stein is a rivalry trophy that imitates a mug made out of what item?,stoneware
Disturbia is a 2007 movie that stars what American actor who starred in the Disney Channel series Even Stevens?,Shia Saide LaBeouf
What film did the mother of Karan Kapoor star in in 1970?,Bombay Talkie
What type of games are both Sector 41 and Enchanted Forest?,board
In what order does Three Colours: Blue appear in the Three Colours trilogy?,first
What property do the films Sweet Crude and Tunisian Victory share?,documentary
"Between Valparaiso University and Old Dominion University, which institution has higher student enrollment?",Old Dominion University
"The New York, Westchester and Boston Railway has a terminus at the New York city in what county?",Westchester
What German computer repair technician may have inspired Diary of a Cannibal,Armin Meiwes
"Who was born first, Lawrence Ferlinghetti or Luigi Pirandello?",Luigi Pirandello
Which auto club has sanctioned races run in California as well as Indianapolis?,United States Auto Club
Which comic book was also written by the writer of Crossed?,"the Vertigo series ""Preacher"""
"What role did Anne Innes-Ker, Duchess of Roxburghe (daughter of the 7th Duke of Marlborough) serve to Queen Victoria?",Mistress of the Robes
"Who was born first, Maurice Ravel or William Walton?",Maurice Ravel
The Phillips Berlina is a neo-classic car that used stretched underpinings from a car that set a new sales record for what model year?,1979
Mis'ry's Comin' Aroun is by an American librettist that won how many Tony Awards? ,eight Tony Awards
What type of submarine was the non-nuclear U-32?,German Type 212 class
What is the full name of the captain of the Australian team that won the 1930 Ashes series?,"William Maldon ""Bill"" Woodfull"
Where were the presenters of the 2016 Brit Awards from?,"Newcastle upon Tyne, England"
Are Mick Jagger and Brett Scallions both musicians?,yes
Who is the former pentecostal preacher who released the comedy album Leader of the Banned in 1990?,Sam Kinison
Charles Haughey held what position when he dissolved the list of members who were elected to the lower house of the Oireachtas of Ireland on 25 May 1989?,Taoiseach of Ireland
When was the colony William Bradford was governor of founded?,1620
Nick Hexum of which American rock band helped produce Decomposer by The Matches?,311
"Who is the American actress that stars in the movie ""Innocesnce"" and is best known for her role as Alexandra Cabot in a long-running NBC series?",Stephanie Caroline March
"Which battle took place closer to New York City, Battle of Fredericksburg or the Western Allied invasion of Germany ?",Battle of Fredericksburg
What album starring Ed Sheeran was released on 3 March 2017?,"÷ (pronounced ""divide"") is the third studio album by English singer-songwriter Ed Sheeran."
"Which Avalanche happened first, Rigopiano avalanche or 1999 Galtür avalanche ?",The Galtür avalanche
The Grosvenor Museum takes its name from the family name of a title currently held by whom?,Prince George of Cambridge
